Year,YoungID,MotherID,East,GroupSize,RelFemAlong,FIDJuv,Observer,Sex,AgeatObs,TestNumber,DifferenceDays,DataFile,FIDAdFem
2017,901,314,7958,2,0,10,Weliton,F,1,4,49,JuvFID,NA
2018,901,314,8124,3,0,8,Weliton,F,2,5,142,JuvFID,NA
2018,901,314,7925,1,0,8,Weliton,F,2,6,7,JuvFID,NA
2018,901,314,7959,2,0,12,Weliton,F,2,7,164,JuvFID,NA
2018,901,314,8039,3,0,9,Weliton,F,2,8,5,JuvFID,NA
2018,901,314,8053,3,0,9,Weliton,F,2,9,20,JuvFID,NA
2017,904,558,7621,3,Mum,1,Weliton,M,1,1,500,JuvFID,NA
2017,904,558,7617,3,0,4,Weliton,M,1,2,0,JuvFID,NA
2017,908,718,7748,1,0,6,Weliton,F,1,1,500,JuvFID,NA
2017,908,718,7564,4,0,7,Weliton,F,1,2,19,JuvFID,NA
2017,908,718,7710,2,0,6,Weliton,F,1,3,9,JuvFID,NA
2017,908,718,7484,4,0,4,Weliton,F,1,4,2,JuvFID,NA
2018,908,718,7600,2,0,5,Weliton,F,2,5,355,JuvFID,NA
2018,908,718,7784,1,0,5,Weliton,F,2,6,29,JuvFID,NA
2017,909,199,7392,3,0,1,Weliton,F,1,1,500,JuvFID,NA
2017,909,199,7458,2,0,1,Weliton,F,1,2,2,JuvFID,NA
2017,909,199,7317,3,0,1,Weliton,F,1,3,27,JuvFID,NA
2018,909,199,7056,1,0,0.5,Weliton,F,2,4,185,JuvFID,NA
2018,909,199,7241,1,0,1,Weliton,F,2,5,152,JuvFID,NA
2018,909,199,7349,1,0,1,Weliton,F,2,6,15,JuvFID,NA
2017,914,913,7703,1,0,12,Weliton,F,1,1,500,JuvFID,NA
2017,914,913,7729,2,Mum,14,Weliton,F,1,2,9,JuvFID,NA
2017,914,913,7872,2,Mum,8,Weliton,F,1,3,56,JuvFID,NA
2017,914,913,7841,2,Mum,10,Weliton,F,1,4,12,JuvFID,NA
2017,914,913,7940,1,0,13,Weliton,F,1,5,34,JuvFID,NA
2018,914,913,7889,1,0,5,Weliton,F,2,6,290,JuvFID,NA
2018,914,913,7649,2,0,7,Weliton,F,2,7,4,JuvFID,NA
2017,916,915,8239,2,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,916,915,7836,3,Mum,4,Weliton,M,1,2,20,JuvFID,NA
2017,916,915,7877,3,Mum,2,Weliton,M,1,3,14,JuvFID,NA
2017,916,915,8114,3,0,2,Weliton,M,1,4,42,JuvFID,NA
2017,916,915,7920,2,Mum,2,Weliton,M,1,5,2,JuvFID,NA
2017,916,915,7953,1,0,4,Weliton,M,1,6,12,JuvFID,NA
2018,916,915,8233,2,0,14,Weliton,M,2,7,285,JuvFID,NA
2017,918,917,8022,1,0,13,Weliton,F,1,1,500,JuvFID,NA
2017,918,917,7959,3,0,15,Weliton,F,1,2,7,JuvFID,NA
2018,918,917,8267,2,0,12,Weliton,F,2,3,140,JuvFID,NA
2018,918,917,7920,1,0,15,Weliton,F,2,4,168,JuvFID,NA
2018,918,917,7838,2,0,8,Weliton,F,2,5,35,JuvFID,NA
2017,921,258,7348,2,0,2,Weliton,F,1,1,500,JuvFID,NA
2017,921,258,7222,3,0,1,Weliton,F,1,2,86,JuvFID,NA
2017,921,258,7059,2,0,1,Weliton,F,1,3,3,JuvFID,NA
2018,921,258,6999,2,0,9,Weliton,F,2,4,91,JuvFID,NA
2018,921,258,7677,1,0,2,Weliton,F,2,5,4,JuvFID,NA
2018,921,258,7250,3,0,1,Weliton,F,2,6,150,JuvFID,NA
2018,921,258,7339,2,0,2,Weliton,F,2,7,18,JuvFID,NA
2017,923,743,7450,2,0,2,Weliton,F,1,1,500,JuvFID,NA
2017,923,743,7614,1,0,3,Weliton,F,1,2,27,JuvFID,NA
2018,923,743,7394,1,0,2,Weliton,F,2,3,183,JuvFID,NA
2018,923,743,7056,1,0,7,Weliton,F,2,4,2,JuvFID,NA
2018,923,743,7513,1,0,3,Weliton,F,2,5,1,JuvFID,NA
2018,923,743,7420,1,0,7,Weliton,F,2,6,151,JuvFID,NA
2018,923,743,7418,1,0,3,Weliton,F,2,7,15,JuvFID,NA
2017,924,522,7408,2,Mum,4,Weliton,F,1,1,500,JuvFID,NA
2017,924,522,7202,2,0,2,Weliton,F,1,2,79,JuvFID,NA
2018,924,522,7332,2,0,4,Weliton,F,2,3,104,JuvFID,NA
2018,924,522,7326,1,0,6,Weliton,F,2,4,167,JuvFID,NA
2018,924,522,7429,2,0,4,Weliton,F,2,5,19,JuvFID,NA
2017,926,521,7384,3,0,6,Weliton,M,1,1,500,JuvFID,NA
2017,926,521,7563,2,0,3,Weliton,M,1,2,114,JuvFID,NA
2017,928,429,7802,2,0,12,Weliton,F,1,1,500,JuvFID,NA
2017,928,429,7783,2,0,5,Weliton,F,1,2,3,JuvFID,NA
2017,928,429,7672,2,0,7,Weliton,F,1,3,1,JuvFID,NA
2018,928,429,7547,1,0,5,Weliton,F,2,4,93,JuvFID,NA
2018,928,429,7598,1,0,7,Weliton,F,2,5,4,JuvFID,NA
2018,928,429,7772,1,0,5,Weliton,F,2,6,166,JuvFID,NA
2018,928,429,7621,1,0,8,Weliton,F,2,7,26,JuvFID,NA
2017,930,193,7862,5,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,930,193,8097,2,Mum,5,Weliton,M,1,2,17,JuvFID,NA
2017,930,193,7921,2,Mum,3,Weliton,M,1,3,65,JuvFID,NA
2017,930,193,8010,2,0,8,Weliton,M,1,4,20,JuvFID,NA
2017,930,193,8051,3,Mum,2,Weliton,M,1,5,11,JuvFID,NA
2017,930,193,7660,1,0,3,Weliton,M,1,6,2,JuvFID,NA
2018,930,193,7832,3,0,3,Weliton,M,2,7,93,JuvFID,NA
2018,930,193,7952,1,0,4,Weliton,M,2,8,156,JuvFID,NA
2018,930,193,7921,2,0,3,Weliton,M,2,9,39,JuvFID,NA
